"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","LSU",73.1625,33,71.4182,27,102.463,190,109.37,84,113.27,335,109.948,283,-0.577446,178
"2017","Maine",69.0581,201,67.4706,190,92.0423,343,91.1529,345,109.751,307,110.589,291,-19.4358,337
"2017","Manhattan",71.8708,62,68.4244,122,96.4207,313,96.7926,306,106.207,230,107.702,232,-10.9094,288
"2017","Marist",69.0418,203,66.3513,239,99.7416,250,100.582,246,113.837,337,114.551,332,-13.9682,315
"2017","Marquette",71.0408,92,69.5356,77,115.653,11,120.926,8,105.356,217,103.416,155,17.5096,29
"2017","Marshall",77.4137,3,77.1872,3,109.434,58,110.775,62,107.802,265,109.637,274,1.13827,150
"2017","Maryland",67.8486,254,66.6682,223,108.151,80,113.614,38,100.798,106,98.7142,64,14.8998,43
"2017","Maryland Eastern Shore",69.201,194,68.0269,152,99.7674,249,97.9086,291,109.093,293,112.505,312,-14.5963,321
"2017","Massachusetts",72.964,36,71.3748,28,98.6149,270,100.756,242,98.7488,60,99.8225,79,0.933168,154
"2017","McNeese St.",71.9535,58,69.4508,83,95.69,320,95.8643,317,109.473,303,110.285,288,-14.4211,319
"2017","Memphis",70.0091,142,67.9082,160,104.275,158,107.018,125,100.362,95,100.987,96,6.03184,99
"2017","Mercer",63.4911,348,61.2295,346,108.161,79,109.699,79,108.328,276,107.935,237,1.76466,140
"2017","Miami FL",64.8294,332,62.6201,338,106.563,109,110.342,69,98.2915,55,93.4572,21,16.8851,31
"2017","Miami OH",70.8555,102,68.1167,144,96.8128,305,95.856,318,105.353,216,105.919,193,-10.063,279
"2017","Michigan",63.6735,347,62.4227,339,116.229,10,121.659,5,101.815,134,99.0365,68,22.6223,20
"2017","Michigan St.",68.2354,244,66.3201,242,104.856,146,110.61,67,99.8615,78,95.6114,34,14.9989,42
"2017","Middle Tennessee",66.096,311,63.8842,315,111.851,33,111.631,55,95.4078,27,96.9812,48,14.6502,46
"2017","Milwaukee",65.0612,329,62.0578,344,99.4869,254,99.863,258,107.57,261,108.386,245,-8.52327,261
"2017","Minnesota",70.4492,117,68.9889,97,104.14,159,109.556,81,95.8428,30,92.9568,17,16.5991,33
"2017","Mississippi",73.5446,28,71.1338,33,105.451,134,110.652,66,103.102,165,100.843,92,9.80903,74
"2017","Mississippi St.",70.7924,105,68.4563,118,101.946,201,106.388,139,100.085,84,99.6146,76,6.77388,93
"2017","Mississippi Valley St.",72.1021,55,70.764,42,95.8224,319,95.7659,319,114.466,339,118.219,347,-22.4528,345
"2017","Missouri",70.4283,120,67.5045,188,97.3392,296,101.254,230,102.767,155,101.057,98,0.197404,164
"2017","Missouri St.",66.2275,308,65.579,271,106.635,107,108.293,106,104.119,191,106.027,199,2.26572,135
"2017","Monmouth",74.2097,21,72.0084,21,108.507,76,108.891,90,98.3457,56,100.704,91,8.1865,83
"2017","Montana",68.7659,218,66.1764,250,108.138,82,105.996,146,105.954,226,108.439,248,-2.44338,195
"2017","Montana St.",71.5159,73,68.7927,104,107.189,93,102.989,197,107.497,256,109.726,277,-6.73623,242
"2017","Morehead St.",70.4386,119,68.0842,145,106.928,100,106.749,129,109.945,310,109.861,280,-3.11149,203
"2017","Morgan St.",69.7991,155,67.2058,202,95.3251,323,91.2028,344,100.492,100,106.477,208,-15.2742,323
"2017","Mount St. Mary's",68.4829,233,66.4428,236,99.4994,253,99.3747,266,99.516,68,103.316,152,-3.94088,212
"2017","Murray St.",70.2106,133,68.1858,138,109.615,57,107.133,122,107.463,254,109.799,278,-2.66586,197
"2017","Navy",64.7797,334,63.7463,319,99.3615,256,99.6665,262,99.5924,73,103.401,154,-3.73479,209
"2017","Nebraska",69.4049,183,67.5882,181,99.0719,260,105.077,157,105.336,215,99.9299,81,5.14748,109
"2017","Nebraska Omaha",75.7714,7,73.2635,9,108.145,81,108.502,99,109.896,309,108.876,254,-0.37324,174
"2017","Nevada",70.915,97,69.2606,87,112.28,28,114.604,34,99.7493,75,101.111,100,13.4931,54
